Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
652	[15.03037827]
653	[15.03022403]
654	[15.03007028]
655	[15.02991702]
656	[15.02976425]
657	[15.02961196]
658	[15.02946016]
659	[15.02930884]
660	[15.02915801]
661	[15.02900765]
662	[15.02885778]
663	[15.02870838]
664	[15.02855946]
665	[15.02841101]
666	[15.02826303]
667	[15.02811553]
668	[15.02796849]
669	[15.02782192]
670	[15.02767582]
671	[15.02753019]
672	[15.02738502]
673	[15.02724031]
674	[15.02709606]
675	[15.02695227]
676	[15.02680894]
677	[15.02666607]
678	[15.02652365]
679	[15.02638168]
680	[15.02624017]
681	[15.02609911]
682	[15.02595849]
683	[15.02581833]
684	[15.02567861]
685	[15.02553933]
686	[15.0254005]
687	[15.02526211]
688	[15.02512416]
689	[15.02498665]
690	[15.02484958]
691	[15.02471295]
692	[15.02457675]
693	[15.02444098]
694	[15.02430565]
695	[15.02417075]
696	[15.02403627]
697	[15.02390223]
698	[15.02376861]
699	[15.02363542]
700	[15.02350265]
701	[15.02337031]
702	[15.02323838]
703	[15.02310688]
704	[15.02297579]
705	[15.02284512]
706	[15.02271487]
707	[15.02258504]
708	[15.02245561]
709	[15.0223266]
710	[15.022198]
711	[15.02206981]
712	[15.02194203]
713	[15.02181465]
714	[15.02168768]
715	[15.02156112]
716	[15.02143496]
717	[15.02130919]
718	[15.02118383]
719	[15.02105887]
720	[15.02093431]
721	[15.02081014]
722	[15.02068637]
723	[15.020563]
724	[15.02044001]
725	[15.02031742]
726	[15.02019522]
727	[15.02007341]
728	[15.01995198]
729	[15.01983094]
730	[15.01971029]
731	[15.01959002]
732	[15.01947014]
733	[15.01935063]
734	[15.01923151]
735	[15.01911276]
736	[15.0189944]
737	[15.01887641]
738	[15.0187588]
739	[15.01864156]
740	[15.01852469]
741	[15.0184082]
742	[15.01829208]
743	[15.01817633]
744	[15.01806094]
745	[15.01794593]
746	[15.01783128]
747	[15.01771699]
748	[15.01760307]
749	[15.01748951]
750	[15.01737632]
751	[15.01726348]
752	[15.017151]
753	[15.01703889]
754	[15.01692712]
755	[15.01681572]
756	[15.01670467]
